what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1379916007488
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1379916007490
os,sysinfo,,,"win32",1379916007496
arch,sysinfo,,,"x86",1379916007496
ws,sysinfo,,,"win32",1379916007496
locale,sysinfo,,,"en_US",1379916007496
processors,sysinfo,,,"4",1379916007496
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1379916007497
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1379916007497
java.specification.name,sysinfo,,,"Java Platform API Specification",1379916007497
java.specification.vendor,sysinfo,,,"Oracle Corporation",1379916007497
java.specification.version,sysinfo,,,"1.7",1379916007497
java.vendor,sysinfo,,,"Oracle Corporation",1379916007497
java.version,sysinfo,,,"1.7.0_03",1379916007497
java.vm.info,sysinfo,,,"mixed mode, sharing",1379916007497
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1379916007497
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1379916007497
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1379916007497
java.vm.specification.version,sysinfo,,,"1.7",1379916007497
java.vm.vendor,sysinfo,,,"Oracle Corporation",1379916007497
java.vm.version,sysinfo,,,"22.1-b02",1379916007497
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379916037439
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379916039756
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1379916039766
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379916052609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379916065458
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379916065584
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1379916066096
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1379916066097
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1379916066098
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1379916066100
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1379916066103
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1379916066104
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1379916066105
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1379916066106
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1379916066107
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1379916066109
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1379916066110
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1379916066112
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.402.v201201250306,"org.eclipse.jst.ws.consumption.ui",1379916066113
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.603.v201202012024,"org.eclipse.jst.ws.consumption",1379916066116
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1379916066117
stopped,bundle,org.eclipse.jst.ws.cxf.creation.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.core",1379916066118
stopped,bundle,org.eclipse.jst.ws.cxf.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.cxf.ui",1379916066119
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1379990436374
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1379990436376
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1379990436395
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1379990436451
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1379990436507
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1379990436537
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1379990436546
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1379990436584
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1379990436595
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1379990436613
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1379990436682
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1379990436729
